"time" "length" "transport"
"1" 12.7 1054 "walk"
"2" 18.22 3648 "car"
"3" 28.55 4629 "car"
"4" 34.18 5336 "car"
"5" 34.44 4501 "car"
"6" 18.84 1031 "walk"
"7" 21.5 3600 "car"
"8" 10.16 989 "bike"
"9" 12.63 859 "walk"
"10" 35.2 5760 "car"
"11" 12.02 962 "walk"
"12" 13.93 945 "walk"
"13" 18.18 1549 "walk"
"14" 5.53 644 "bike"
"15" 22.69 1334 "walk"
"16" 13.69 1370 "bike"
"17" 19.87 1893 "car"
"18" 27.69 4179 "car"
"19" 6.8 686 "bike"
"20" 8.9 639 "walk"
"21" 12.16 602 "walk"
"22" 10.14 1290 "bike"
"23" 5.39 1212 "bike"
"24" 14.8 1100 "bike"
"25" 14.85 795 "bike"
"26" 9.44 1183 "bike"
"27" 13.67 1300 "bike"
"28" 8.27 308 "bike"
"29" 29.09 4218 "car"
"30" 18.6 1092 "walk"
"31" 13.88 1114 "bike"
"32" 8.39 1131 "bike"
"33" 13.89 1012 "walk"
"34" 10.35 1240 "bike"
"35" 9.71 570 "bike"
"36" 20.29 1345 "walk"
"37" 20.27 1408 "walk"
"38" 17.88 892 "walk"
"39" 16.01 2164 "car"
"40" 7.7 3 "car"
"41" 25.13 3316 "car"
"42" 7.77 1015 "bike"
"43" 26.6 4304 "car"
"44" 19.73 4323 "car"
"45" 16.11 935 "walk"
"46" 37.55 6266 "car"
"47" 26.27 3268 "car"
"48" 6.45 323 "bike"
"49" 9.28 935 "walk"
"50" 11.69 1019 "walk"
"51" 20.67 3116 "car"
"52" 6.99 800 "bike"
"53" 9.28 894 "bike"
"54" 9.65 963 "bike"
"55" 13.77 953 "walk"
"56" 9.1 932 "bike"
"57" 10.92 426 "walk"
"58" 18.97 3765 "car"
"59" 18.74 971 "walk"
"60" 19.91 3039 "car"
"61" 36.16 6616 "car"
"62" 13.46 693 "bike"
"63" 7.83 1251 "bike"
"64" 11.54 1084 "bike"
"65" 25.39 1638 "walk"
"66" 31.87 4805 "car"
"67" 8.49 1348 "bike"
"68" 10.5 614 "walk"
"69" 15.18 890 "bike"
"70" 5.03 571 "walk"
"71" 31.85 5999 "car"
"72" 23.26 2520 "car"
"73" 8.89 809 "bike"
"74" 1.61 34 "car"
"75" 17.5 1136 "walk"
"76" 17.74 1027 "walk"
"77" 12.91 1438 "bike"
"78" 1.87 570 "bike"
"79" 16.69 785 "walk"
"80" 43 8359 "car"
"81" 7.51 885 "walk"
"82" 7.06 385 "bike"
"83" 9.14 551 "walk"
"84" 20.72 2877 "car"
"85" 32.92 4864 "car"
"86" 15.75 2437 "car"
"87" 19.07 3263 "car"
"88" 37.29 6718 "car"
"89" 17.78 1686 "walk"
"90" 17.56 874 "walk"
"91" 10.02 1201 "bike"
"92" 63.95 10850 "car"
"93" 23.58 1395 "walk"
"94" 6.48 1201 "bike"
"95" 29.25 4831 "car"
"96" 17.55 1893 "bike"
"97" 27.69 1631 "walk"
"98" 21.86 2971 "car"
"99" 13.65 616 "bike"
"100" 31.49 5023 "car"
"101" 5.93 816 "bike"
"102" 5.05 13 "car"
"103" 12.43 890 "walk"
"104" 18.72 860 "walk"
"105" 6.01 544 "bike"
"106" 12.69 1398 "bike"
"107" 13.62 1400 "car"
"108" 13.19 1494 "car"
"109" 32.09 5685 "car"
"110" 17.1 1569 "walk"
"111" 9.39 574 "bike"
"112" 4.42 983 "bike"
"113" 13.31 1353 "bike"
"114" 6.78 659 "bike"
"115" 10.47 1103 "bike"
"116" 20.2 1291 "walk"
"117" 29.28 5223 "car"
"118" 21.93 3490 "car"
"119" 20.28 1606 "walk"
"120" 12.87 1209 "walk"
"121" 23.38 3456 "car"
"122" 10.77 758 "bike"
"123" 1.74 559 "bike"
"124" 14.64 1450 "bike"
"125" 33.77 5262 "car"
"126" 14.77 530 "walk"
"127" 22.02 1444 "walk"
"128" 26.06 1752 "walk"
"129" 25.66 1452 "walk"
"130" 25.64 4310 "car"
"131" 10.22 859 "bike"
"132" 9.97 1019 "bike"
"133" 7.45 928 "bike"
"134" 18.76 2342 "car"
"135" 7.94 490 "bike"
"136" 8.74 1131 "bike"
"137" 9.37 769 "walk"
"138" 30.95 5320 "car"
"139" 37.2 6468 "car"
"140" 6.07 584 "car"
"141" 14.74 1044 "walk"
"142" 24.32 3323 "car"
"143" 13.95 669 "walk"
"144" 18.28 1179 "walk"
"145" 15.32 1189 "walk"
"146" 29.08 3716 "car"
"147" 31.9 4815 "car"
"148" 9.79 754 "walk"
"149" 7.64 1039 "walk"
"150" 16.12 968 "walk"
