"day" "station" "PM10"
"1" 1 1 41.605
"2" 1 2 41.622
"3" 1 3 43.427
"4" 1 4 42.276
"5" 1 5 42.583
"6" 2 1 44.219
"7" 2 2 44.48
"8" 2 3 44.937
"9" 2 4 44.388
"10" 2 5 42.648
"11" 3 1 46.442
"12" 3 2 46.987
"13" 3 3 46.009
"14" 3 4 45.752
"15" 3 5 47.326
"16" 4 1 49.298
"17" 4 2 46.895
"18" 4 3 49.13
"19" 4 4 47.198
"20" 4 5 47.49
"21" 5 1 48.905
"22" 5 2 49.833
"23" 5 3 50.738
"24" 5 4 49.633
"25" 5 5 50.035
"26" 6 1 52.414
"27" 6 2 51.698
"28" 6 3 51.818
"29" 6 4 51.942
"30" 6 5 52.619
"31" 7 1 57.405
"32" 7 2 56.596
"33" 7 3 55.553
"34" 7 4 56.112
"35" 7 5 55.08
"36" 8 1 60.228
"37" 8 2 57.882
"38" 8 3 57.55
"39" 8 4 56.457
"40" 8 5 59.656
"41" 9 1 59.32
"42" 9 2 56.329
"43" 9 3 60.186
"44" 9 4 57.76
"45" 9 5 57.536
"46" 10 1 59.204
"47" 10 2 59.675
"48" 10 3 60.527
"49" 10 4 60.682
"50" 10 5 58.786
